material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.014753857,0,0,1.056369761,0,0,0,0,0,0,0,0,0,0,3.762356617,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.014753857,0,0,1.056369761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.603082472,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.014753857,0.670569651,0,0,0,0,0,0,0.51570098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.074489252,0,0,0,0.495330954,0,0,0,0.00130806,0,0,0,0,0,0,0,0,0,0,0,2.346959209,0,0,0,0,0,0.129913575
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.074489252,0,0,0,0.495330954,0,0,0,0.00196209,0,0,0,0,0,0,0,0,0,2.076698298,0,0,0,0,0,0,0,0.129913575
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.074489252,0,0,0,0.495330954,0,0,0,0.00130806,0,0,0,0,0,0,0,0,0,0,0.045449154,0,0,0,0,0,0,0.129913575
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,1.981323817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5574,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6812,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.074489252,0,0,0,0.495330954,0,0,0.152831474,0,0,0,9.638830172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.074489252,0,0,0,0.495330954,0,0,0.152831474,0,0,0,0,0,7.700095552,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.074489252,0,0,0,0.495330954,0,0,0.152831474,0,0,0,0,4.875716297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.074489252,-0.359818279,0,0,0,0,0.213933541,0,0,0,0,0,0,0,0,0,0,0.145688979,0,0,0,0,0,0,0,0.104629505,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.074489252,-0.777207483,0,0,0,0,0.320900311,0,0,1.586032807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104629505,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.074489252,-0.518138322,0,0,0,0,0,0,0.00130806,0,0,0,0,0,-0.362290531,0,0,0,0,0,0,0,0,0,0,0,0.129913575
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.074489252,-0.518138322,0,0,0,0,0.213933541,0,0,0,0,0,0,0,0,-0.673854125,0,0,0,0,0,0,0,0,0,0.104629505,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.074489252,-0.518138322,0,0,0,0,0.213933541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296997615,0,0,0.104629505,0
